book id,book branch,copies
AA234,11,2
AA549,11,4
BT803,11,2
BT863,11,4
GA443,11,1
HE187,11,3
HE750,11,4
JS764,11,2
KO751,11,1
LM177,11,2
LM750,11,3
MB276,11,2
MB339,11,0
RC531,11,0
RC936,11,3
SK612,11,2
SK765,11,3
SW095,11,1
SW205,11,2
TR226,11,3
TR936,11,0
WP093,11,0
AA234,12,4
AA549,12,2
BT803,12,4
BT863,12,1
GA443,12,2
HE187,12,3
HE750,12,0
JS764,12,0
KO751,12,0
LM177,12,2
LM750,12,3
MB276,12,1
MB339,12,2
RC531,12,3
RC936,12,1
SK612,12,1
SK765,12,2
SW095,12,2
SW205,12,2
TR226,12,2
TR936,12,2
WP093,12,4
AA234,10,3
AA549,10,2
BT803,10,2
BT863,10,1
GA443,10,1
HE187,10,1
HE750,10,0
JS764,10,2
KO751,10,2
LM177,10,4
LM750,10,2
MB276,10,1
MB339,10,1
RC531,10,0
RC936,10,3
SK612,10,2
SK765,10,2
SW095,10,1
SW205,10,0
TR226,10,0
TR936,10,1
WP093,10,2
AA234,13,0
AA549,13,3
BT803,13,4
BT863,13,1
GA443,13,2
HE187,13,0
HE750,13,2
JS764,13,1
KO751,13,0
LM177,13,2
LM750,13,2
MB276,13,1
MB339,13,0
RC531,13,0
RC936,13,1
SK612,13,4
SK765,13,2
SW095,13,1
SW205,13,0
TR226,13,1
TR936,13,2
WP093,13,6
